,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
0,M1,INSP_MEC_VENTI_ FA204,TEC-MEC,MVEN002,MVEN002M1,10,Inspeccion general ventilador 660H,TEC-MEC,PM01,2.0,0.9,MVEN002M110,,
1,M2,PREV_MEC_VENTI_ FA204,TEC-MEC,MVEN002,MVEN002M2,10,Limpieza y mtto alabe ventilador 4000H,TEC-MEC,PM01,2.0,6.0,MVEN002M210,,
2,M2,PREV_MEC_VENTI_ FA204,TEC-MEC,MVEN002,MVEN002M2,20,Limpieza y mtto ducto ventilador 4000H,TEC-MEC,PM01,2.0,3.0,MVEN002M220,,
3,E1,INSP_ELE_VENTI_ FA204,TEC-ELE,MVEN002,MVEN002E1,10,Inspec general motor y cable conexi 1M,TEC-ELE,PM01,2.0,0.5,MVEN002E110,,
4,E2,PREV_ELE_VENTI_ FA204,TEC-ELE,MVEN002,MVEN002E2,10,Mtto mecanismo de arranque motor 4000H,TEC-ELE,PM01,2.0,1.0,MVEN002E210,,
5,E2,PREV_ELE_VENTI_ FA204,TEC-ELE,MVEN002,MVEN002E2,20,Mtto general motor 2000H,TEC-ELE,PM01,2.0,2.0,MVEN002E220,,
6,I1,INSP_INS_VENTI_ FA204,TEC-INS,MVEN002,MVEN002I1,10,Inspeccionar el estado componentes 1M,TEC-INS,PM01,2.0,0.5,MVEN002I110,,
7,I2,PREV_INS_VENTI_ FA204,TEC-INS,MVEN002,MVEN002I2,10,Realizar mtto instrumentos ventil 4000H,TEC-INS,PM01,2.0,2.0,MVEN002I210,,
8,I2,PREV_INS_VENTI_ FA204,TEC-INS,MVEN002,MVEN002I2,20,Realizar calibracion instrumento 4000H,TEC-INS,PM01,2.0,1.0,MVEN002I220,,
9,P1,PRED_CON_VENTI_ FA204,TEC-PRD,MVEN002,MVEN002P1,10,"Monitoreo vibrac, temp ventilador 2000H",TEC-PRD,PM01,2.0,2.0,MVEN002P110,,
10,M1,INSP_MEC_VENTI_ FA205,TEC-MEC,MVEN003,MVEN003M1,10,Inspeccion general ventilador 660H,TEC-MEC,PM01,2.0,0.9,MVEN003M110,,
11,M2,PREV_MEC_VENTI_ FA205,TEC-MEC,MVEN003,MVEN003M2,10,Limpieza y mtto alabe ventilador 4000H,TEC-MEC,PM01,2.0,6.0,MVEN003M210,,
