,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador
40,I1,INSP_INS_TANQU_ TANQ-INOX-BC,TEC-INS,MTAN010,MTAN010I1,10,Inspeccion instrumentos de tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN010I110
41,I2,PREV_INS_TANQU_ TANQ-INOX-BC,TEC-INS,MTAN010,MTAN010I2,10,Mantenimiento instrumentos tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN010I210
42,I2,PREV_INS_TANQU_ TANQ-INOX-BC,TEC-INS,MTAN010,MTAN010I2,20,Contrastacion y/o ajust transmisor 6M,TEC-INS,PM01,2.0,1.0,MTAN010I220
43,P1,PRED_CON_TANQU_ TANQ-INOX-BC,TEC-PRD,MTAN010,MTAN010P1,10,Inspeccion mayor de tanque 1A,TEC-PRD,PM01,2.0,3.0,MTAN010P110
44,M1,INSP_MEC_TANQU_ TANQ-CARB-MC,TEC-MEC,MTAN011,MTAN011M1,10,Inspeccion general tanque 1M,TEC-MEC,PM01,2.0,1.0,MTAN011M110
45,M2,PREV_MEC_TANQU_ TANQ-CARB-MC,TEC-MEC,MTAN011,MTAN011M2,10,Limpieza interior d tanque d acero 1A,TEC-MEC,PM01,2.0,2.0,MTAN011M210
46,I1,INSP_INS_TANQU_ TANQ-CARB-MC,TEC-INS,MTAN011,MTAN011I1,10,Inspec de instrumentos del tanque 1M,TEC-INS,PM01,2.0,1.0,MTAN011I110
47,I2,PREV_INS_TANQU_ TANQ-CARB-MC,TEC-INS,MTAN011,MTAN011I2,10,Mantenim instrumentos de tanque 6M,TEC-INS,PM01,2.0,2.5,MTAN011I210
48,I2,PREV_INS_TANQU_ TANQ-CARB-MC,TEC-INS,MTAN011,MTAN011I2,20,Contrastacion/ajuste transmisores 6M,TEC-INS,PM01,2.0,1.0,MTAN011I220
49,P1,PRED_CON_TANQU_ TANQ-CARB-MC,TEC-PRD,MTAN011,MTAN011P1,10,Inspeccion mayor d tanque de acero 1A,TEC-PRD,PM01,2.0,3.0,MTAN011P110
