,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
0,M1,INSP_MEC_BOMBA_NOVAROTORS 4L1,TEC-MEC,MBOM053,MBOM053M1,10,Inspeccion general bomba 660H,TEC-MEC,PM01,2.0,1.1,MBOM053M110,,
1,M2,PREV_MEC_BOMBA_NOVAROTORS 4L1,TEC-MEC,MBOM053,MBOM053M2,10,Inspeccion menor del reductor bomba 660H,TEC-MEC,PM01,2.0,0.5,MBOM053M210,,
2,M2,PREV_MEC_BOMBA_NOVAROTORS 4L1,TEC-MEC,MBOM053,MBOM053M2,20,Inspeccion y mtto menor reductor 4000H,TEC-MEC,PM01,2.0,2.3,MBOM053M220,,
3,M2,PREV_MEC_BOMBA_NOVAROTORS 4L1,TEC-MEC,MBOM053,MBOM053M2,30,Cambio de aceite porta rodamiento 4000H,TEC-MEC,PM01,2.0,2.0,MBOM053M230,2530846,0.14
4,M2,PREV_MEC_BOMBA_NOVAROTORS 4L1,TEC-MEC,MBOM053,MBOM053M2,40,Cambio empaques estator de bomba 4000H,TEC-MEC,PM01,2.0,1.0,MBOM053M240,,
5,M2,PREV_MEC_BOMBA_NOVAROTORS 4L1,TEC-MEC,MBOM053,MBOM053M2,50,Mtto menor del rotor de bomba 4000H,TEC-MEC,PM01,2.0,2.0,MBOM053M250,,
6,M2,PREV_MEC_BOMBA_NOVAROTORS 4L1,TEC-MEC,MBOM053,MBOM053M2,60,Mtto general estator 8000H,TEC-MEC,PM01,2.0,5.0,MBOM053M260,,
7,E1,INSP_ELE_BOMBA_NOVAROTORS 4L1,TEC-ELE,MBOM053,MBOM053E1,10,Inspeccion general de motor 1M,TEC-ELE,PM01,2.0,0.5,MBOM053E110,,
8,E2,PREV_ELE_BOMBA_NOVAROTORS 4L1,TEC-ELE,MBOM053,MBOM053E2,10,Limpieza superficie motor elec 2000H,TEC-ELE,PM01,2.0,0.5,MBOM053E210,,
9,E2,PREV_ELE_BOMBA_NOVAROTORS 4L1,TEC-ELE,MBOM053,MBOM053E2,20,Mtto menor motor electrico bomba 8000H,TEC-ELE,PM01,2.0,2.5,MBOM053E220,,
10,P1,PRED_CON_BOMBA_NOVAROTORS 4L1,TEC-PRD,MBOM053,MBOM053P1,10,"Monitoreo vibracio, temp reductor 2000H",TEC-PRD,PM01,1.0,0.5,MBOM053P110,,
11,P1,PRED_CON_BOMBA_NOVAROTORS 4L1,TEC-PRD,MBOM053,MBOM053P1,20,Monitoreo vibracion y temp porta 2000H,TEC-PRD,PM01,1.0,0.5,MBOM053P120,,
12,I3,INSP_INS_BOMBA_NOVAROTORS 4L1,TEC-INS,MBOM053,MBOM053I3,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,0.5,MBOM053I310,,
13,I4,PREV_INS_BOMBA_NOVAROTORS 4L1,TEC-INS,MBOM053,MBOM053I4,10,Limpieza de instrumentos de bomba 4000H,TEC-INS,PM01,2.0,2.0,MBOM053I410,,
14,I4,PREV_INS_BOMBA_NOVAROTORS 4L1,TEC-INS,MBOM053,MBOM053I4,20,Calibracion instrumento transmisor 4000H,TEC-INS,PM01,2.0,1.0,MBOM053I420,,
15,M1,INSP_MEC_BOMBA_NOVAROTORS 1K2,TEC-MEC,MBOM054,MBOM054M1,10,Mtto menor de reductor de bomba 4000H,TEC-MEC,PM01,2.0,0.3,MBOM054M110,,
16,M1,INSP_MEC_BOMBA_NOVAROTORS 1K2,TEC-MEC,MBOM054,MBOM054M1,20,Inspeccion general bomba 660H,TEC-MEC,PM01,2.0,1.0,MBOM054M120,,
17,M2,PREV_MEC_BOMBA_NOVAROTORS 1K2,TEC-MEC,MBOM054,MBOM054M2,10,Cambio aceite de reductor bomba 4000H,TEC-MEC,PM01,2.0,2.0,MBOM054M210,2530846,0.26
18,M2,PREV_MEC_BOMBA_NOVAROTORS 1K2,TEC-MEC,MBOM054,MBOM054M2,20,Cambio aceite porta rodamiento 4000H,TEC-MEC,PM01,2.0,2.0,MBOM054M220,,
19,M2,PREV_MEC_BOMBA_NOVAROTORS 1K2,TEC-MEC,MBOM054,MBOM054M2,30,Cambio de empaques estator bomba 4000H,TEC-MEC,PM01,2.0,1.0,MBOM054M230,,
20,M2,PREV_MEC_BOMBA_NOVAROTORS 1K2,TEC-MEC,MBOM054,MBOM054M2,40,Mtto menor de rotor de bomba 4000H,TEC-MEC,PM01,2.0,2.0,MBOM054M240,,
21,M2,PREV_MEC_BOMBA_NOVAROTORS 1K2,TEC-MEC,MBOM054,MBOM054M2,50,Mtto general estator 8000H,TEC-MEC,PM01,2.0,5.0,MBOM054M250,,
22,E1,INSP_ELE_BOMBA_NOVAROTORS 1K2,TEC-ELE,MBOM054,MBOM054E1,10,Inspeccion general motor electrico 1M,TEC-ELE,PM01,2.0,0.5,MBOM054E110,,
23,E2,PREV_ELE_BOMBA_NOVAROTORS 1K2,TEC-ELE,MBOM054,MBOM054E2,10,Mtto menor motor electrico bomba 1500H,TEC-ELE,PM01,2.0,2.0,MBOM054E210,,
24,I1,INSP_INS_BOMBA_NOVAROTORS 1K2,TEC-INS,MBOM054,MBOM054I1,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,0.5,MBOM054I110,,
25,I2,PREV_INS_BOMBA_NOVAROTORS 1K2,TEC-INS,MBOM054,MBOM054I2,10,Mtto menor instrumentos de bomba 4000H,TEC-INS,PM01,2.0,2.0,MBOM054I210,,
26,I2,PREV_INS_BOMBA_NOVAROTORS 1K2,TEC-INS,MBOM054,MBOM054I2,20,Calibracion instrumento transmisor 4000H,TEC-INS,PM01,2.0,1.0,MBOM054I220,,
27,P1,PRED_CON_BOMBA_NOVAROTORS 1K2,TEC-PRD,MBOM054,MBOM054P1,10,Monitoreo de reductor de bomba 1500H,TEC-PRD,PM01,1.0,0.5,MBOM054P110,,
28,P1,PRED_CON_BOMBA_NOVAROTORS 1K2,TEC-PRD,MBOM054,MBOM054P1,20,Inspeccion porta rodamiento bomba 660H,TEC-PRD,PM01,1.0,0.3,MBOM054P120,,
29,P1,PRED_CON_BOMBA_NOVAROTORS 1K2,TEC-PRD,MBOM054,MBOM054P1,30,Monitoreo porta rodamiento bomba 1500H,TEC-PRD,PM01,1.0,0.5,MBOM054P130,,
30,I3,INSP_INS_BOMBA_NOVAROTORS 1K2,TEC-INS,MBOM054,MBOM054I3,10,Inspeccion instrumentos rotor bomba 1M,TEC-INS,PM01,2.0,0.5,MBOM054I310,,
31,I4,PREV_INS_BOMBA_NOVAROTORS 1K2,TEC-INS,MBOM054,MBOM054I4,10,Mtto menor instrumentos de bomba 4000H,TEC-INS,PM01,2.0,2.0,MBOM054I410,,
32,I4,PREV_INS_BOMBA_NOVAROTORS 1K2,TEC-INS,MBOM054,MBOM054I4,20,Calibracion reductor transmisores 4000H,TEC-INS,PM01,2.0,1.0,MBOM054I420,,
33,M1,INSP_MEC_BOMBA_PROMINENT Hp2aH100003SST,TEC-MEC,MBOM055,MBOM055M1,10,Inspeccion de acoplamiento 4000H,TEC-MEC,PM01,2.0,3.0,MBOM055M110,,
34,M1,INSP_MEC_BOMBA_PROMINENT Hp2aH100003SST,TEC-MEC,MBOM055,MBOM055M1,20,Inspeccion general bomba 660H,TEC-MEC,PM01,2.0,0.8,MBOM055M120,,
35,M1,INSP_MEC_BOMBA_PROMINENT Hp2aH100003SST,TEC-MEC,MBOM055,MBOM055M1,30,Inspeccion general bomba 2000H,TEC-MEC,PM01,2.0,2.0,MBOM055M130,,
36,M2,PREV_MEC_BOMBA_PROMINENT Hp2aH100003SST,TEC-MEC,MBOM055,MBOM055M2,10,Monit temperatura caja engranaje 660H,TEC-MEC,PM01,1.0,0.5,MBOM055M210,,
37,M2,PREV_MEC_BOMBA_PROMINENT Hp2aH100003SST,TEC-MEC,MBOM055,MBOM055M2,20,Cambio de aceite del engranaje 4000H,TEC-MEC,PM01,2.0,2.0,MBOM055M220,,
38,M2,PREV_MEC_BOMBA_PROMINENT Hp2aH100003SST,TEC-MEC,MBOM055,MBOM055M2,30,Comprobar ajuste tornillos cabezal 2000H,TEC-MEC,PM01,2.0,0.5,MBOM055M230,,
39,M2,PREV_MEC_BOMBA_PROMINENT Hp2aH100003SST,TEC-MEC,MBOM055,MBOM055M2,40,Cambio de diafragma de bomba 4000H,TEC-MEC,PM01,2.0,3.0,MBOM055M240,,
40,E1,INSP_ELE_BOMBA_PROMINENT Hp2aH100003SST,TEC-ELE,MBOM055,MBOM055E1,10,Inspeccion general de motor 1M,TEC-ELE,PM01,2.0,0.5,MBOM055E110,,
41,E2,PREV_ELE_BOMBA_PROMINENT Hp2aH100003SST,TEC-ELE,MBOM055,MBOM055E2,10,Mtto preventivo variador velocidad 4000H,TEC-ELE,PM01,2.0,2.0,MBOM055E210,,
42,E2,PREV_ELE_BOMBA_PROMINENT Hp2aH100003SST,TEC-ELE,MBOM055,MBOM055E2,20,Mtto general motor 2000H,TEC-ELE,PM01,2.0,2.0,MBOM055E220,,
43,I1,INSP_INS_BOMBA_PROMINENT Hp2aH100003SST,TEC-INS,MBOM055,MBOM055I1,10,Inspeccionar el estado componente 1M,TEC-INS,PM01,2.0,0.5,MBOM055I110,,
