,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
0,M1,INSP_MEC_COMPR_INGERSOLL R11i-200,TEC-MEC,MCOM008,MCOM008M1,10,Inspeccion general compresor 660H,TEC-MEC,PM01,2.0,1.1,MCOM008M110,,
1,M2,PREV_MEC_COMPR_INGERSOLL R11i-200,TEC-MEC,MCOM008,MCOM008M2,10,Cambio de filtro de aire 2000H,TEC-MEC,PM01,2.0,1.0,MCOM008M210,3041145,1
2,M2,PREV_MEC_COMPR_INGERSOLL R11i-200,TEC-MEC,MCOM008,MCOM008M2,20,Cambio de aceite del separador 8000H,TEC-MEC,PM01,2.0,3.0,MCOM008M220,2525585,10
3,M2,PREV_MEC_COMPR_INGERSOLL R11i-200,TEC-MEC,MCOM008,MCOM008M2,30,Limpieza enfriador de aceite/aire 8000H,TEC-MEC,PM01,2.0,2.0,MCOM008M230,,
4,M2,PREV_MEC_COMPR_INGERSOLL R11i-200,TEC-MEC,MCOM008,MCOM008M2,40,Cambio de elemento de pre secado 2000H,TEC-MEC,PM01,2.0,1.5,MCOM008M240,3041191,1
5,M2,PREV_MEC_COMPR_INGERSOLL R11i-200,TEC-MEC,MCOM008,MCOM008M2,50,Mtto general separador de aceite 2000H,TEC-MEC,PM01,2.0,0.3,MCOM008M250,3041188,1
6,M2,PREV_MEC_COMPR_INGERSOLL R11i-200,TEC-MEC,MCOM008,MCOM008M2,50,Mtto general separador de aceite 2000H,TEC-MEC,PM01,2.0,0.3,MCOM008M250,3041190,1
7,E1,INSP_ELE_COMPR_INGERSOLL R11i-200,TEC-ELE,MCOM008,MCOM008E1,10,Inspeccion general compresor 1M,TEC-ELE,PM01,2.0,1.0,MCOM008E110,,
8,E2,PREV_ELE_COMPR_INGERSOLL R11i-200,TEC-ELE,MCOM008,MCOM008E2,10,Limpieza exterior de motor 2000H,TEC-ELE,PM01,2.0,0.0,MCOM008E210,,
9,E2,PREV_ELE_COMPR_INGERSOLL R11i-200,TEC-ELE,MCOM008,MCOM008E2,20,Mtto panel ctrl y caja conex bomba 4000H,TEC-ELE,PM01,2.0,4.0,MCOM008E220,,
10,E2,PREV_ELE_COMPR_INGERSOLL R11i-200,TEC-ELE,MCOM008,MCOM008E2,30,Mtto general motor 4000H,TEC-ELE,PM01,2.0,0.2,MCOM008E230,,
11,I2,PREV_INS_COMPR_INGERSOLL R11i-200,TEC-INS,MCOM008,MCOM008I2,10,Inspec de instrumentos de compresor 660H,TEC-INS,PM01,2.0,1.0,MCOM008I210,,
12,I2,PREV_INS_COMPR_INGERSOLL R11i-200,TEC-INS,MCOM008,MCOM008I2,20,Mtto de instrumentos de compresor 4000H,TEC-INS,PM01,2.0,3.0,MCOM008I220,,
13,I2,PREV_INS_COMPR_INGERSOLL R11i-200,TEC-INS,MCOM008,MCOM008I2,30,Contrastacion ajuste transmisores 4000H,TEC-INS,PM01,2.0,2.0,MCOM008I230,,
14,P1,PRED_CON_COMPR_INGERSOLL R11i-200,TEC-PRD,MCOM008,MCOM008P1,10,Monitoreo de vibracion de motor 660H,TEC-PRD,PM01,1.0,0.0,MCOM008P110,,
15,P1,PRED_CON_COMPR_INGERSOLL R11i-200,TEC-PRD,MCOM008,MCOM008P1,20,Monit temperatura rodamientos motor 660H,TEC-PRD,PM01,1.0,0.0,MCOM008P120,,
16,P1,PRED_CON_COMPR_INGERSOLL R11i-200,TEC-PRD,MCOM008,MCOM008P1,30,Monit temperatura estator motor 660H,TEC-PRD,PM01,1.0,0.0,MCOM008P130,,
17,P1,PRED_CON_COMPR_INGERSOLL R11i-200,TEC-PRD,MCOM008,MCOM008P1,40,Monit x vibracion rod compresor 660H,TEC-PRD,PM01,1.0,0.3,MCOM008P140,,
