,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
118,M1,INSP_MEC_ANODO_EPCM XM338,TEC-MEC,MANO001,MANO001M1,10,Inspeccion general anodos 165H,TEC-MEC,PM01,2.0,0.3,MANO001M110,,
119,M2,PREV_MEC_ANODO_EPCM XM338,TEC-MEC,MANO001,MANO001M2,10,Lubr rodamien lineales despegadora 2000H,TEC-MEC,PM01,2.0,0.5,MANO001M210,,
120,M2,PREV_MEC_ANODO_EPCM XM338,TEC-MEC,MANO001,MANO001M2,20,Lubr rodamien lineales despegadora 165H,TEC-MEC,PM01,2.0,0.5,MANO001M220,,
121,M2,PREV_MEC_ANODO_EPCM XM338,TEC-MEC,MANO001,MANO001M2,30,Lubr rodamien lineales despegadora 330H,TEC-MEC,PM01,2.0,0.5,MANO001M230,,
122,M2,PREV_MEC_ANODO_EPCM XM338,TEC-MEC,MANO001,MANO001M2,40,Mtto general sistema hidraulico 2000H,TEC-MEC,PM01,2.0,6.0,MANO001M240,,
123,P1,PRED_CON_ANODO_EPCM XM338,TEC-PRD,MANO001,MANO001P1,10,Monitoreo vibrac sist hidraulico 165H,TEC-PRD,PM01,1.0,0.3,MANO001P110,,
124,P1,PRED_CON_ANODO_EPCM XM338,TEC-PRD,MANO001,MANO001P1,20,Monitoreo termograf sist hidraulico 165H,TEC-PRD,PM01,1.0,0.3,MANO001P120,,
125,P1,PRED_CON_ANODO_EPCM XM338,TEC-PRD,MANO001,MANO001P1,30,Muestreo aceite sistema hidraulico 660H,TEC-PRD,PM01,1.0,0.3,MANO001P130,,
126,M1,INSP_MEC_CATOD_EPCM XM343,TEC-MEC,MCAT001,MCAT001M1,10,Inspeccion general catodos 165H,TEC-MEC,PM01,2.0,2.1,MCAT001M110,,
127,M2,PREV_MEC_CATOD_EPCM XM343,TEC-MEC,MCAT001,MCAT001M2,10,Muestreo aceite bomba sist lavado 660H,TEC-MEC,PM01,1.0,0.3,MCAT001M210,,
128,M2,PREV_MEC_CATOD_EPCM XM343,TEC-MEC,MCAT001,MCAT001M2,20,Insp intercambiador sistema lavado 165H,TEC-MEC,PM01,2.0,3.0,MCAT001M220,,
129,P1,PRED_CON_CATOD_EPCM XM343,TEC-PRD,MCAT001,MCAT001P1,10,Monitoreo vibrac bomba sist lavado 165H,TEC-PRD,PM01,1.0,0.3,MCAT001P110,,
130,P1,PRED_CON_CATOD_EPCM XM343,TEC-PRD,MCAT001,MCAT001P1,20,Monitoreo termograf bomba sist lav 165H,TEC-PRD,PM01,1.0,0.3,MCAT001P120,,
131,M1,INSP_MEC_ROBOT_EPCM XM348,TEC-MEC,MROB001,MROB001M1,10,Insp robot carga sistema de lavado 165H,TEC-MEC,PM01,1.0,0.3,MROB001M110,,
132,M1,INSP_MEC_ROBOT_EPCM XM349,TEC-MEC,MROB002,MROB002M1,10,Insp robot carga estacion remocion 165H,TEC-MEC,PM01,1.0,0.3,MROB002M110,,
133,M1,INSP_MEC_ROBOT_EPCM XM350,TEC-MEC,MROB003,MROB003M1,10,Inspeccion general robot 165H,TEC-MEC,PM01,2.0,0.3,MROB003M110,,
134,M1,INSP_MEC_ROBOT_EPCM XM352,TEC-MEC,MROB004,MROB004M1,10,Inspeccion general robot 165H,TEC-MEC,PM01,2.0,0.6,MROB004M110,,
135,M1,INSP_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M1,10,Inspecc elastomero acople de baja 4000H,TEC-MEC,PM01,2.0,2.0,MFAJ032M110,,
136,M1,INSP_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M1,20,Inspecc sistema contrapeso d faja 1000H,TEC-MEC,PM01,1.0,0.3,MFAJ032M120,,
137,M1,INSP_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M1,30,Inspeccion general faja 165H,TEC-MEC,PM01,2.0,2.3,MFAJ032M130,,
138,M1,INSP_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M1,40,Inspeccion general faja 660H,TEC-MEC,PM01,2.0,0.3,MFAJ032M140,,
139,M1,INSP_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M1,50,Inspeccion general faja 2000H,TEC-MEC,PM01,2.0,1.1,MFAJ032M150,,
140,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,10,Camb aceite reduct velocidad faja 8000H,TEC-MEC,PM01,2.0,4.0,MFAJ032M210,2530846,15.6
141,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,20,Camb pastillas freno reductor faja 1000H,TEC-MEC,PM01,2.0,2.0,MFAJ032M220,,
142,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,30,Camb filtros aceite sist enfr faja 4000H,TEC-MEC,PM01,1.0,0.5,MFAJ032M230,,
143,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,40,Camb banda de faja transportadora 16000H,TEC-MEC,PM01,6.0,36.0,MFAJ032M240,2525546,247
144,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,50,Cambio de la polea de cabeza faja 8000H,TEC-MEC,PM01,4.0,8.0,MFAJ032M250,,
145,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,60,Cambio de polea de cola de faja 8000H,TEC-MEC,PM01,4.0,8.0,MFAJ032M260,,
146,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,70,Cambio de polea (4) de faja 8000H,TEC-MEC,PM01,4.0,8.0,MFAJ032M270,,
147,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,80,Cambio de polea tensora de faja 8000H,TEC-MEC,PM01,4.0,8.0,MFAJ032M280,,
148,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,90,Cambio d polines de impacto de faja 660H,TEC-MEC,PM01,3.0,3.0,MFAJ032M290,3041322,1
149,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,100,Cambio de polines de carga de faja 660H,TEC-MEC,PM01,3.0,3.0,MFAJ032M2100,3041316,1
150,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,100,Cambio de polines de carga de faja 660H,TEC-MEC,PM01,3.0,3.0,MFAJ032M2100,3041317,1
151,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,100,Cambio de polines de carga de faja 660H,TEC-MEC,PM01,3.0,3.0,MFAJ032M2100,3041320,1
152,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,100,Cambio de polines de carga de faja 660H,TEC-MEC,PM01,3.0,3.0,MFAJ032M2100,3041323,1
153,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,110,"Camb polines de retorno en ""v"" faja 660H",TEC-MEC,PM01,3.0,3.0,MFAJ032M2110,3041319,1
154,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,110,"Camb polines de retorno en ""v"" faja 660H",TEC-MEC,PM01,3.0,3.0,MFAJ032M2110,3041321,1
155,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,120,Cambio polines d retorno plano faja 660H,TEC-MEC,PM01,3.0,3.0,MFAJ032M2120,3041318,1
156,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,130,Mtto sistema de contrapeso de faja 4000H,TEC-MEC,PM01,2.0,4.0,MFAJ032M2130,,
157,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,140,Regulacion d raspador primario 330H,TEC-MEC,PM01,2.0,2.0,MFAJ032M2140,3045208,1
158,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,150,Regulacion de raspador secundario 330H,TEC-MEC,PM01,2.0,2.0,MFAJ032M2150,,
159,M2,PREV_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M2,160,Mtto de raspador en v de faja 4000H,TEC-MEC,PM01,2.0,2.0,MFAJ032M2160,,
160,M3,LUBR_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M3,10,Lubricac x grasa polea cabeza faja 1500H,TEC-MEC,PM01,2.0,0.3,MFAJ032M310,2518155,2
161,M3,LUBR_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M3,20,Lubric x grasa polea d cola d faja 1500H,TEC-MEC,PM01,2.0,0.3,MFAJ032M320,2518155,2
162,M3,LUBR_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M3,30,Lubricacion x grasa (4) de polea 1500H,TEC-MEC,PM01,2.0,0.3,MFAJ032M330,2518155,2
163,M3,LUBR_MEC_FAJA_ CV201,TEC-MEC,MFAJ032,MFAJ032M3,40,Lubrica x grasa d polea tensora 2000H,TEC-MEC,PM01,2.0,0.3,MFAJ032M340,2518155,2
164,E1,INSP_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E1,10,Insp panel ctrl caja conex de faja 1M,TEC-ELE,PM01,1.0,1.0,MFAJ032E110,,
165,E1,INSP_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E1,20,Inspeccion de iluminacion de faja 6S,TEC-ELE,PM01,2.0,0.5,MFAJ032E120,,
166,E1,INSP_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E1,30,Inspeccion general motor 1S,TEC-ELE,PM01,2.0,1.0,MFAJ032E130,,
167,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,10,Mtto menor de motor de faja 1000H,TEC-ELE,PM01,2.0,1.0,MFAJ032E210,,
168,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,20,Mtto preventivo variador velocidad 4000H,TEC-ELE,PM01,2.0,2.0,MFAJ032E220,,
169,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,30,Mtto botonera campo de faja 8000H,TEC-ELE,PM01,2.0,1.0,MFAJ032E230,,
170,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,40,Mtto panel control de faja 8000H,TEC-ELE,PM01,2.0,2.0,MFAJ032E240,,
171,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,50,Mtto caja conexiones de faja 8000H,TEC-ELE,PM01,2.0,1.0,MFAJ032E250,,
172,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,60,Mtto menor motor sist enfriamiento 4000H,TEC-ELE,PM01,2.0,0.5,MFAJ032E260,,
173,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,70,Mtto mayor motor sist enfriamiento 8000H,TEC-ELE,PM01,2.0,2.0,MFAJ032E270,,
174,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,80,Mtto de detector de metales de faja 660H,TEC-ELE,PM01,2.0,2.0,MFAJ032E280,,
175,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,90,Calibracion de detector de metales 4000H,TEC-ELE,PM01,2.0,1.0,MFAJ032E290,,
176,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,100,Mantenimiento de balanza de faja 660H,TEC-ELE,PM01,2.0,3.0,MFAJ032E2100,,
177,E2,PREV_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E2,110,Mtto general motor 4000H,TEC-ELE,PM01,2.0,6.0,MFAJ032E2110,,
178,E3,LUBR_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E3,10,Lubricacion de motor de faja 12000H,TEC-ELE,PM01,2.0,0.5,MFAJ032E310,2530835,0.054
179,E3,LUBR_ELE_FAJA_ CV201,TEC-ELE,MFAJ032,MFAJ032E3,20,Lubricac motor sist. enfriamiento 20000H,TEC-ELE,PM01,2.0,0.5,MFAJ032E320,2530835,0.054
180,I1,INSP_INS_FAJA_ CV201,TEC-INS,MFAJ032,MFAJ032I1,10,Inspeccion general faja 1M,TEC-INS,PM01,2.0,2.5,MFAJ032I110,,
181,I2,PREV_INS_FAJA_ CV201,TEC-INS,MFAJ032,MFAJ032I2,10,Contrastacion ajuste transmisores 4000H,TEC-INS,PM01,2.0,4.0,MFAJ032I210,,
182,I2,PREV_INS_FAJA_ CV201,TEC-INS,MFAJ032,MFAJ032I2,20,Calibracion de balanza de faja 4000H,TEC-INS,PM01,2.0,12.0,MFAJ032I220,,
183,I2,PREV_INS_FAJA_ CV201,TEC-INS,MFAJ032,MFAJ032I2,30,Mtto general instrumentos 4000H,TEC-INS,PM01,2.0,5.0,MFAJ032I230,,
184,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,10,Monitoreo de vibracion de motor 660H,TEC-PRD,PM01,1.0,1.0,MFAJ032P110,,
185,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,20,Monitoreo de termografia de motor 660H,TEC-PRD,PM01,1.0,0.5,MFAJ032P120,,
186,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,30,Monitoreo x vibracion de reductor 660H,TEC-PRD,PM01,1.0,0.3,MFAJ032P130,,
187,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,40,Monit termografia reduct velocidad 660H,TEC-PRD,PM01,1.0,0.3,MFAJ032P140,,
188,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,50,Extraccion muestra aceite reductor 660H,TEC-PRD,PM01,1.0,0.3,MFAJ032P150,,
189,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,60,Monit vibracion rod polea cabeza 660H,TEC-PRD,PM01,1.0,0.5,MFAJ032P160,,
190,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,70,Monit x termografia polea cabeza 660H,TEC-PRD,PM01,1.0,0.5,MFAJ032P170,,
191,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,80,Monitoreo vibracion rod polea cola 660H,TEC-PRD,PM01,1.0,0.3,MFAJ032P180,,
192,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,90,Monitoreo x termografia polea cola 660H,TEC-PRD,PM01,1.0,0.3,MFAJ032P190,,
193,P1,PRED_CON_FAJA_ CV201,TEC-PRD,MFAJ032,MFAJ032P1,100,Monit x vibracion de rodam d polea 660H,TEC-PRD,PM01,1.0,0.5,MFAJ032P1100,,
