,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
0,M1,INSP_MEC_BOMBA_PATTERSON 5X4X12 SSC,TEC-MEC,MBOM088,MBOM088M1,10,Inspeccion general bomba 660H,TEC-MEC,PM01,2.0,0.6,MBOM088M110,,
1,M1,INSP_MEC_BOMBA_PATTERSON 5X4X12 SSC,TEC-MEC,MBOM088,MBOM088M1,20,Inspeccion general bomba 4000H,TEC-MEC,PM01,2.0,9.0,MBOM088M120,,
2,M3,LUBR_MEC_BOMBA_PATTERSON 5X4X12 SSC,TEC-MEC,MBOM088,MBOM088M3,10,Lubricacion del acople de bomba 2000H,TEC-MEC,PM01,2.0,0.3,MBOM088M310,,
3,M3,LUBR_MEC_BOMBA_PATTERSON 5X4X12 SSC,TEC-MEC,MBOM088,MBOM088M3,20,Lubric de rodamientos de bomba 2000H,TEC-MEC,PM01,2.0,0.5,MBOM088M320,,
4,E1,INSP_ELE_BOMBA_PATTERSON 5X4X12 SSC,TEC-ELE,MBOM088,MBOM088E1,10,Inspeccion general motor 1M,TEC-ELE,PM01,2.0,1.0,MBOM088E110,,
5,E2,PREV_ELE_BOMBA_PATTERSON 5X4X12 SSC,TEC-ELE,MBOM088,MBOM088E2,10,Mtto general motor 4000H,TEC-ELE,PM01,2.0,6.5,MBOM088E210,,
6,I1,INSP_INS_BOMBA_PATTERSON 5X4X12 SSC,TEC-INS,MBOM088,MBOM088I1,10,Inspeccion general de instrumentos 1M,TEC-INS,PM01,2.0,1.5,MBOM088I110,,
7,I2,PREV_INS_BOMBA_PATTERSON 5X4X12 SSC,TEC-INS,MBOM088,MBOM088I2,10,Mtto de instrumentos de bomba 8000H,TEC-INS,PM01,2.0,2.5,MBOM088I210,,
8,I2,PREV_INS_BOMBA_PATTERSON 5X4X12 SSC,TEC-INS,MBOM088,MBOM088I2,20,Contrastacion y/o ajuste d transmi 4000H,TEC-INS,PM01,2.0,2.0,MBOM088I220,,
9,P1,PRED_CON_BOMBA_PATTERSON 5X4X12 SSC,TEC-PRD,MBOM088,MBOM088P1,10,Monit vibracion rodamientos bomba 1500H,TEC-PRD,PM01,2.0,1.0,MBOM088P110,,
10,M1,INSP_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M1,10,Inspeccion general bomba 660H,TEC-MEC,PM01,2.0,0.6,MBOM089M110,,
11,M1,INSP_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M1,20,Inspeccion general bomba 4000H,TEC-MEC,PM01,2.0,9.0,MBOM089M120,,
12,M3,LUBR_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M3,10,Lubricacion del acople de bomba 2000H,TEC-MEC,PM01,2.0,0.3,MBOM089M310,,
13,M3,LUBR_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M3,20,Lubric de rodamientos de bomba 2000H,TEC-MEC,PM01,2.0,0.5,MBOM089M320,,
14,E1,INSP_ELE_BOMBA_PATTERSON 12X8 MAA,TEC-ELE,MBOM089,MBOM089E1,10,Inspeccion general motor 1M,TEC-ELE,PM01,2.0,1.0,MBOM089E110,,
15,E2,PREV_ELE_BOMBA_PATTERSON 12X8 MAA,TEC-ELE,MBOM089,MBOM089E2,10,Mtto general motor 4000H,TEC-ELE,PM01,2.0,6.5,MBOM089E210,,
16,I1,INSP_INS_BOMBA_PATTERSON 12X8 MAA,TEC-INS,MBOM089,MBOM089I1,10,Inspeccion general de instrumentos 1M,TEC-INS,PM01,2.0,1.5,MBOM089I110,,
17,I2,PREV_INS_BOMBA_PATTERSON 12X8 MAA,TEC-INS,MBOM089,MBOM089I2,10,Mtto de instrumentos de bomba 8000H,TEC-INS,PM01,2.0,2.5,MBOM089I210,,
18,I2,PREV_INS_BOMBA_PATTERSON 12X8 MAA,TEC-INS,MBOM089,MBOM089I2,20,Contrastacion y/o ajuste d transmi 4000H,TEC-INS,PM01,2.0,2.0,MBOM089I220,,
19,P1,PRED_CON_BOMBA_PATTERSON 12X8 MAA,TEC-PRD,MBOM089,MBOM089P1,10,Monit vibracion rodamientos bomba 1500H,TEC-PRD,PM01,2.0,1.0,MBOM089P110,,
20,M4,INSP_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M4,10,Inspeccion d sistema de lubricacion 165H,TEC-MEC,PM01,1.0,0.3,MBOM089M410,,
21,M4,INSP_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M4,20,Inspeccion de acople de bomba 165H,TEC-MEC,PM01,1.0,0.3,MBOM089M420,,
22,M4,INSP_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M4,30,Inspeccion d soporte de rodamientos 165H,TEC-MEC,PM01,1.0,0.3,MBOM089M430,,
23,M4,INSP_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M4,40,Inspeccion general bomba 165H,TEC-MEC,PM01,2.0,0.4,MBOM089M440,,
24,M4,INSP_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M4,50,Inspeccion general bomba 165H,TEC-MEC,PM01,2.0,0.3,MBOM089M450,,
25,M4,INSP_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M4,60,Inspeccion general bomba 165H,TEC-MEC,PM01,2.0,0.3,MBOM089M460,,
26,M4,INSP_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M4,70,Inspeccion general bomba 165H,TEC-MEC,PM01,2.0,0.3,MBOM089M470,,
27,M5,PREV_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M5,10,Drenado de filtro de combustible 165H,TEC-MEC,PM01,2.0,2.0,MBOM089M510,,
28,M5,PREV_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M5,20,Cambio del filtro de combustible 8000H,TEC-MEC,PM01,2.0,2.0,MBOM089M520,,
29,M5,PREV_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M5,30,Limpieza de filtro de aire/ escape 8000H,TEC-MEC,PM01,2.0,2.0,MBOM089M530,,
30,M5,PREV_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M5,40,Cambio de filtro de aire/ escape 12000H,TEC-MEC,PM01,2.0,3.0,MBOM089M540,,
31,M5,PREV_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M5,50,Extrac de muestra de aceite d lubri 660H,TEC-MEC,PM01,2.0,1.0,MBOM089M550,,
32,M5,PREV_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M5,60,Cambio de acople de bomba 8000H,TEC-MEC,PM01,2.0,3.0,MBOM089M560,,
33,M5,PREV_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M5,70,Camb sellos radiales y/o juntas rod 165H,TEC-MEC,PM01,4.0,2.0,MBOM089M570,,
34,M5,PREV_MEC_BOMBA_PATTERSON 12X8 MAA,TEC-MEC,MBOM089,MBOM089M5,80,Mtto general carcasa 8000H,TEC-MEC,PM01,2.0,9.5,MBOM089M580,,
