,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
0,M1,INSP_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M1,10,Inspeccion de rodillos de tolva 4000H,TEC-MEC,PM01,1.0,0.5,MCHA005M110,,
1,M1,INSP_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M1,20,Inspeccion general chancadora 165H,TEC-MEC,PM01,2.0,27.3,MCHA005M120,,
2,M1,INSP_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M1,30,Inspeccion general chancadora 330H,TEC-MEC,PM01,2.0,30.5,MCHA005M130,,
3,M1,INSP_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M1,40,Inspeccion general chancadora 660H,TEC-MEC,PM01,2.0,32.6,MCHA005M140,,
4,M1,INSP_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M1,50,Inspeccion general chancadora 2000H,TEC-MEC,PM01,2.0,12.8,MCHA005M150,,
5,M1,INSP_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M1,60,Inspeccion general chancadora 8000H,TEC-MEC,PM01,2.0,11.5,MCHA005M160,,
6,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,10,Primer cambio aceite reduc/rod fijo 330H,TEC-MEC,PM01,3.0,6.0,MCHA005M210,2517936,201.05820105820106
7,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,20,Cambio aceite reductor/rod fijo 8000H,TEC-MEC,PM01,3.0,6.0,MCHA005M220,2517936,201.05820105820106
8,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,30,Camb filtros aceite reduc/rod fijo 4000H,TEC-MEC,PM01,2.0,2.0,MCHA005M230,,
9,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,40,Primer cambio aceite reduc/rod mov 330H,TEC-MEC,PM01,3.0,6.0,MCHA005M240,2517936,201.05820105820106
10,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,50,Cambio aceite reductor/rod movil 8000H,TEC-MEC,PM01,3.0,6.0,MCHA005M250,2517936,201.05820105820106
11,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,60,Camb filtros aceite reduc/rod mov 4000H,TEC-MEC,PM01,2.0,2.0,MCHA005M260,,
12,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,70,Inspeccion reductor de chancadora 2000H,TEC-MEC,PM01,2.0,1.0,MCHA005M270,,
13,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,80,Cambio de rodillo movil chancadora 8000H,TEC-MEC,PM01,16.0,36.0,MCHA005M280,2523864,1
14,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,80,Cambio de rodillo movil chancadora 8000H,TEC-MEC,PM01,16.0,36.0,MCHA005M280,3040006,1
15,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,90,Limpieza de rodillo fijo 2000H,TEC-MEC,PM01,2.0,1.0,MCHA005M290,,
16,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,100,Desplazamiento de rodillo fijo 660H,TEC-MEC,PM01,2.0,1.0,MCHA005M2100,,
17,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,110,Cambio de rodillo fijo chancadora 8000H,TEC-MEC,PM01,16.0,36.0,MCHA005M2110,2523864,1
18,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,110,Cambio de rodillo fijo chancadora 8000H,TEC-MEC,PM01,16.0,36.0,MCHA005M2110,3040006,1
19,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,120,Mantenimiento sistema engrase 4000H,TEC-MEC,PM01,2.0,4.0,MCHA005M2120,,
20,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,130,Limpieza vent condensador chiller 2000H,TEC-MEC,PM01,2.0,1.0,MCHA005M2130,,
21,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,140,Mtto general chiller 165H,TEC-MEC,PM01,2.0,3.5,MCHA005M2140,,
22,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,150,Mtto general chiller 660H,TEC-MEC,PM01,2.0,4.0,MCHA005M2150,,
23,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,160,Mtto general rodillo movil 660H,TEC-MEC,PM01,2.0,2.0,MCHA005M2160,,
24,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,170,Mtto general chiller 4000H,TEC-MEC,PM01,2.0,4.0,MCHA005M2170,,
25,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,180,Mtto general sist lubric rod. fijo 4000H,TEC-MEC,PM01,2.0,12.0,MCHA005M2180,2517936,79.36507936507937
26,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,190,Mtto general sist lubric rod movil 4000H,TEC-MEC,PM01,2.0,12.0,MCHA005M2190,2517936,79.36507936507937
27,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,200,Mtto general sistema hidraulico 4000H,TEC-MEC,PM01,2.0,5.0,MCHA005M2200,3039913,1
28,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,200,Mtto general sistema hidraulico 4000H,TEC-MEC,PM01,2.0,5.0,MCHA005M2200,3039982,2
29,M2,PREV_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M2,200,Mtto general sistema hidraulico 4000H,TEC-MEC,PM01,2.0,5.0,MCHA005M2200,2530963,103.17460317460318
30,M3,LUBR_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M3,10,Lubricacion de cardan rodillo fijo 660H,TEC-MEC,PM01,2.0,1.0,MCHA005M310,2530842,0.5
31,M3,LUBR_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M3,20,Lubricacion de cardan rodillo movil 660H,TEC-MEC,PM01,2.0,1.0,MCHA005M320,2530842,0.5
32,M3,LUBR_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M3,30,Relleno sistema engrase 2000H,TEC-MEC,PM01,2.0,2.0,MCHA005M330,2531193,180
33,M3,LUBR_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M3,40,Lubricacion pines rotacion de tolva 660H,TEC-MEC,PM01,1.0,0.3,MCHA005M340,,
34,M3,LUBR_MEC_CHANC_THYSSENKRUPP 20/15M,TEC-MEC,MCHA005,MCHA005M3,50,Lubric general tolvin 660H,TEC-MEC,PM01,2.0,0.5,MCHA005M350,2521383,4
35,E1,INSP_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E1,10,Inspeccion general motor 1S,TEC-ELE,PM01,2.0,4.0,MCHA005E110,,
36,E1,INSP_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E1,20,Inspeccion general motor 2S,TEC-ELE,PM01,2.0,6.0,MCHA005E120,,
37,E1,INSP_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E1,30,Inspeccion general motor 3M,TEC-ELE,PM01,2.0,1.5,MCHA005E130,,
38,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,10,Mtto menor de motor rodillo fijo 2000H,TEC-ELE,PM01,2.0,2.0,MCHA005E210,,
39,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,20,Mtto menor de motor rodillo movil 2000H,TEC-ELE,PM01,2.0,2.0,MCHA005E220,,
40,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,30,Mtto prev var veloc motor rod fijo 4000H,TEC-ELE,PM01,2.0,2.0,MCHA005E230,,
41,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,40,Mtto prev var veloc motor rod mov 4000H,TEC-ELE,PM01,2.0,2.0,MCHA005E240,,
42,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,50,Mtto botonera campo de chancadora 4000H,TEC-ELE,PM01,2.0,1.0,MCHA005E250,,
43,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,60,Mtto panel control de chancadora 4000H,TEC-ELE,PM01,2.0,2.0,MCHA005E260,,
44,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,70,Mtto caja conexiones de chancadora 4000H,TEC-ELE,PM01,2.0,2.0,MCHA005E270,,
45,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,80,Mtto botonera campo de chancadora 8000H,TEC-ELE,PM01,2.0,0.5,MCHA005E280,,
46,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,90,Mtto caja conexiones de chancadora 8000H,TEC-ELE,PM01,2.0,0.5,MCHA005E290,,
47,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,100,Mtto botonera campo de chancadora 2000H,TEC-ELE,PM01,2.0,1.0,MCHA005E2100,,
48,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,110,Mtto caja conexiones de chancadora 2000H,TEC-ELE,PM01,2.0,1.0,MCHA005E2110,,
49,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,120,Mtto general motor electrico pu 2000H,TEC-ELE,PM01,2.0,8.0,MCHA005E2120,,
50,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,130,Mtto general motor sist hidraulico 2000H,TEC-ELE,PM01,2.0,4.5,MCHA005E2130,,
51,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,140,Mtto general motor electrico pu 4000H,TEC-ELE,PM01,2.0,32.0,MCHA005E2140,,
52,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,150,Mtto general motor elect rod fijo 4000H,TEC-ELE,PM01,2.0,12.5,MCHA005E2150,,
53,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,160,Mtto general motor elect rod movil 4000H,TEC-ELE,PM01,2.0,12.5,MCHA005E2160,,
54,E2,PREV_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E2,170,Mtto general motor acc. auxiliar 8000H,TEC-ELE,PM01,2.0,2.0,MCHA005E2170,,
55,E3,LUBR_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E3,10,Lubricacion motor rodillo fijo 2000H,TEC-ELE,PM01,2.0,0.3,MCHA005E310,,
56,E3,LUBR_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E3,20,Lubricacion motor rodillo fijo 3500H,TEC-ELE,PM01,2.0,0.5,MCHA005E320,2530835,0.36
57,E3,LUBR_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E3,30,Lubricacion motor rodillo movil 2000H,TEC-ELE,PM01,2.0,0.3,MCHA005E330,2530835,0.59
58,E3,LUBR_ELE_CHANC_THYSSENKRUPP 20/15M,TEC-ELE,MCHA005,MCHA005E3,40,Lubricacion motor rodillo movil 3500H,TEC-ELE,PM01,2.0,0.5,MCHA005E340,2530835,0.36
59,I1,INSP_INS_CHANC_THYSSENKRUPP 20/15M,TEC-INS,MCHA005,MCHA005I1,10,Inspeccion general chancadora,TEC-INS,PM01,2.0,7.5,MCHA005I110,,
60,I2,PREV_INS_CHANC_THYSSENKRUPP 20/15M,TEC-INS,MCHA005,MCHA005I2,10,Mantenimiento de instrumentos hpgr 2000H,TEC-INS,PM01,2.0,5.0,MCHA005I210,,
61,I2,PREV_INS_CHANC_THYSSENKRUPP 20/15M,TEC-INS,MCHA005,MCHA005I2,20,Contrastacion inst y trans hpgr 4000H,TEC-INS,PM01,2.0,1.0,MCHA005I220,,
62,I2,PREV_INS_CHANC_THYSSENKRUPP 20/15M,TEC-INS,MCHA005,MCHA005I2,30,Mtto inst del sist lubricacion 2000H,TEC-INS,PM01,2.0,2.0,MCHA005I230,,
63,I2,PREV_INS_CHANC_THYSSENKRUPP 20/15M,TEC-INS,MCHA005,MCHA005I2,40,Mtto instrumentos sist hidraulico 2000H,TEC-INS,PM01,2.0,5.0,MCHA005I240,,
64,I2,PREV_INS_CHANC_THYSSENKRUPP 20/15M,TEC-INS,MCHA005,MCHA005I2,50,Contrastacion inst sist hidraulico 4000H,TEC-INS,PM01,2.0,1.0,MCHA005I250,,
65,I2,PREV_INS_CHANC_THYSSENKRUPP 20/15M,TEC-INS,MCHA005,MCHA005I2,60,Mtto de inst sist lub rodamientos 2000H,TEC-INS,PM01,2.0,4.0,MCHA005I260,,
66,I2,PREV_INS_CHANC_THYSSENKRUPP 20/15M,TEC-INS,MCHA005,MCHA005I2,70,Contrastacion inst sist lub de rod 4000H,TEC-INS,PM01,2.0,1.0,MCHA005I270,,
67,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,10,Monit vibracion motor rodillo fijo 330H,TEC-PRD,PM01,1.0,1.0,MCHA005P110,,
68,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,20,Monit termografia motor rod fijo 330H,TEC-PRD,PM01,1.0,0.5,MCHA005P120,,
69,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,30,Monit vibracion motor rodillo movil 330H,TEC-PRD,PM01,1.0,1.0,MCHA005P130,,
70,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,40,Monit termografia motor rod movil 330H,TEC-PRD,PM01,1.0,0.5,MCHA005P140,,
71,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,50,Monitoreo aceite reductor/rod fijo 330H,TEC-PRD,PM01,2.0,1.5,MCHA005P150,,
72,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,60,Monitoreo vibracion reduc/rod fijo 330H,TEC-PRD,PM01,2.0,0.5,MCHA005P160,,
73,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,70,Monit termografia reduc/rod fijo 330H,TEC-PRD,PM01,2.0,0.5,MCHA005P170,,
74,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,80,Monitoreo aceite reductor/rod movil 330H,TEC-PRD,PM01,2.0,1.5,MCHA005P180,,
75,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,90,Monitoreo vibracion reduc/rod movil 330H,TEC-PRD,PM01,2.0,0.5,MCHA005P190,,
76,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,100,Monit termografia reduc/rod movil 330H,TEC-PRD,PM01,2.0,0.5,MCHA005P1100,,
77,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,110,Monit vibra bomba sist lub rod fijo 330H,TEC-PRD,PM01,2.0,1.0,MCHA005P1110,,
78,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,120,Monitoreo vibracion motor PU-208 330H,TEC-PRD,PM01,1.0,1.0,MCHA005P1120,,
79,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,130,Monitoreo vibracion motor PU-209 330H,TEC-PRD,PM01,1.0,1.0,MCHA005P1130,,
80,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,140,Monit vibr reduct sist lub rod mov 330H,TEC-PRD,PM01,2.0,0.5,MCHA005P1140,,
81,P1,PRED_CON_CHANC_THYSSENKRUPP 20/15M,TEC-PRD,MCHA005,MCHA005P1,150,Monitoreo vibracion motor PU-210 330H,TEC-PRD,PM01,1.0,1.0,MCHA005P1150,,
