,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
33,I2,PREV_INS_ANALI_OUTOTEC COURIER 6X SL,TEC-INS,MANA001,MANA001I2,20,Mtto general caja vbs 6996 1M,TEC-INS,PM01,2.0,1.0,MANA001I220,,
34,I2,PREV_INS_ANALI_OUTOTEC COURIER 6X SL,TEC-INS,MANA001,MANA001I2,30,Mtto general lineas muestras compuest 1M,TEC-INS,PM01,2.0,1.0,MANA001I230,,
35,I2,PREV_INS_ANALI_OUTOTEC COURIER 6X SL,TEC-INS,MANA001,MANA001I2,40,Mtto general sonda del analizador 6S,TEC-INS,PM01,2.0,6.0,MANA001I240,,
36,M1,INSP_MEC_FILTR_OUTOTEC DM 4400-4/2,TEC-MEC,MFIL009,MFIL009M1,10,Inspeccion general filtro 1M,TEC-MEC,PM01,2.0,3.3,MFIL009M110,,
37,M2,PREV_MEC_FILTR_OUTOTEC DM 4400-4/2,TEC-MEC,MFIL009,MFIL009M2,10,Mtto general filtro 1A,TEC-MEC,PM01,2.0,7.0,MFIL009M210,2524070,1
38,M2,PREV_MEC_FILTR_OUTOTEC DM 4400-4/2,TEC-MEC,MFIL009,MFIL009M2,10,Mtto general filtro 1A,TEC-MEC,PM01,2.0,7.0,MFIL009M210,2524071,1
39,M2,PREV_MEC_FILTR_OUTOTEC DM 4400-4/2,TEC-MEC,MFIL009,MFIL009M2,10,Mtto general filtro 1A,TEC-MEC,PM01,2.0,7.0,MFIL009M210,2524072,1
40,I1,INSP_INS_FILTR_OUTOTEC DM 4400-4/2,TEC-INS,MFIL009,MFIL009I1,10,Insp instrumentos en general 1M,TEC-INS,PM01,2.0,0.5,MFIL009I110,,
41,I2,PREV_INS_FILTR_OUTOTEC DM 4400-4/2,TEC-INS,MFIL009,MFIL009I2,10,Mtto y limpieza de instrumentos 6M,TEC-INS,PM01,2.0,1.0,MFIL009I210,,
42,I2,PREV_INS_FILTR_OUTOTEC DM 4400-4/2,TEC-INS,MFIL009,MFIL009I2,20,Contrastacion de instrumentos 6M,TEC-INS,PM01,2.0,1.0,MFIL009I220,,
43,M1,INSP_MEC_FILTR_TIMEX TBS-IL 80,TEC-MEC,MFIL010,MFIL010M1,10,Inspeccion general filtro 1M,TEC-MEC,PM01,2.0,3.0,MFIL010M110,,
44,M2,PREV_MEC_FILTR_TIMEX TBS-IL 80,TEC-MEC,MFIL010,MFIL010M2,10,Cambio de medios filtrantes 1A,TEC-MEC,PM01,2.0,4.0,MFIL010M210,,
