,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
77,E2,PREV_ELE_PAQUE_LEPSA J164B-236,TEC-ELE,MPAQ001,MPAQ001E2,10,Mtto general motor 2M,TEC-ELE,PM01,2.0,2.0,MPAQ001E210,,
78,I1,INSP_INS_PAQUE_LEPSA J164B-236,TEC-INS,MPAQ001,MPAQ001I1,10,Inspeccionar instrumentos general 1M,TEC-INS,PM01,2.0,0.5,MPAQ001I110,,
79,I2,PREV_INS_PAQUE_LEPSA J164B-236,TEC-INS,MPAQ001,MPAQ001I2,10,Mtto y limpieza de instrumentos 6M,TEC-INS,PM01,2.0,1.0,MPAQ001I210,,
80,I2,PREV_INS_PAQUE_LEPSA J164B-236,TEC-INS,MPAQ001,MPAQ001I2,20,Contrastacion y ajuste transmisor 6M,TEC-INS,PM01,2.0,1.0,MPAQ001I220,,
81,P1,PRED_CON_PAQUE_LEPSA J164B-236,TEC-PRD,MPAQ001,MPAQ001P1,10,Monitoreo vibracion y temp motor 2M,TEC-PRD,PM01,2.0,2.0,MPAQ001P110,,
82,P1,PRED_CON_PAQUE_LEPSA J164B-236,TEC-PRD,MPAQ001,MPAQ001P1,20,Monitoreo vibracion y temp bomba 2M,TEC-PRD,PM01,2.0,2.0,MPAQ001P120,,
83,M1,INSP_MEC_BOMBA_ PU396,TEC-MEC,MBOM114,MBOM114M1,10,Inspeccion general bomba 1M,TEC-MEC,PM01,2.0,1.6,MBOM114M110,,
84,M2,PREV_MEC_BOMBA_ PU396,TEC-MEC,MBOM114,MBOM114M2,10,Ajuste pernos de cabezal de bomba 3M,TEC-MEC,PM01,2.0,0.5,MBOM114M210,,
85,M2,PREV_MEC_BOMBA_ PU396,TEC-MEC,MBOM114,MBOM114M2,20,Limpieza general de bomba 3M,TEC-MEC,PM01,2.0,1.0,MBOM114M220,,
86,E1,INSP_ELE_BOMBA_ PU396,TEC-ELE,MBOM114,MBOM114E1,10,Inspeccion general bomba 1M,TEC-ELE,PM01,2.0,1.3,MBOM114E110,,
