,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador
0,M1,INSP_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M1,10,Inspeccion elastomero 10000H,TEC-MEC,PM01,2.0,2.0,MFAJ001M110
1,M1,INSP_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M1,20,Inspeccion general faja 165H,TEC-MEC,PM01,2.0,1.4,MFAJ001M120
2,M1,INSP_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M1,30,Inspeccion general faja 660H,TEC-MEC,PM01,2.0,0.8,MFAJ001M130
3,M1,INSP_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M1,40,Inspeccion general faja 2000H,TEC-MEC,PM01,2.0,4.5,MFAJ001M140
4,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,10,Cambio de aceite de reductor 8000H,TEC-MEC,PM01,2.0,4.0,MFAJ001M210
5,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,20,Cambio de las pastillas de freno 1000H,TEC-MEC,PM01,2.0,2.0,MFAJ001M220
6,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,30,Cambio de los filtros de aceite 4000H,TEC-MEC,PM01,1.0,0.5,MFAJ001M230
7,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,40,Cambio banda faja transportadora 16000H,TEC-MEC,PM01,10.0,32.0,MFAJ001M240
8,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,50,Cambio de la polea 8000H,TEC-MEC,PM01,4.0,8.0,MFAJ001M250
9,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,60,Cambio de la polea cola 8000H,TEC-MEC,PM01,4.0,8.0,MFAJ001M260
10,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,70,Cambio polines de impacto 660H,TEC-MEC,PM01,3.0,3.0,MFAJ001M270
11,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,80,Cambio polines de carga 660H,TEC-MEC,PM01,3.0,3.0,MFAJ001M280
12,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,90,Cambio polines de retorno en v 660H,TEC-MEC,PM01,3.0,3.0,MFAJ001M290
13,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,100,Cambio polines de retorno plano 660H,TEC-MEC,PM01,3.0,3.0,MFAJ001M2100
14,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,110,Cambio del raspador primario 4000H,TEC-MEC,PM01,2.0,2.0,MFAJ001M2110
15,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,120,Cambio de las placas del raspador 4000H,TEC-MEC,PM01,2.0,2.0,MFAJ001M2120
16,M2,PREV_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M2,130,Cambio de las placas del raspador 4000H,TEC-MEC,PM01,2.0,2.0,MFAJ001M2130
17,M3,LUBR_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M3,10,Extraccion de muestra de aceite 660H,TEC-MEC,PM01,1.0,0.3,MFAJ001M310
18,M3,LUBR_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M3,20,Lubricacion por grasa 1500H,TEC-MEC,PM01,2.0,0.3,MFAJ001M320
19,M3,LUBR_MEC_FAJA_ CV202,TEC-MEC,MFAJ001,MFAJ001M3,30,Lubricacion por grasa polea cola 1500H,TEC-MEC,PM01,2.0,0.3,MFAJ001M330
20,E1,INSP_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E1,10,Inspeccion de luminaria 3M,TEC-ELE,PM01,2.0,0.5,MFAJ001E110
21,E1,INSP_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E1,20,Inspeccion general faja 1S,TEC-ELE,PM01,2.0,1.5,MFAJ001E120
22,E2,PREV_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E2,10,Mantenimiento menor de motor 1000H,TEC-ELE,PM01,2.0,1.0,MFAJ001E210
23,E2,PREV_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E2,20,Mantenimiento Preventivo 4000H,TEC-ELE,PM01,2.0,2.0,MFAJ001E220
24,E2,PREV_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E2,30,Mtto de botonera de campo 4000H,TEC-ELE,PM01,1.0,1.0,MFAJ001E230
25,E2,PREV_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E2,40,Mtto de panel de control 4000H,TEC-ELE,PM01,2.0,2.0,MFAJ001E240
26,E2,PREV_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E2,50,Mantenimiento de caja conexiones 4000H,TEC-ELE,PM01,2.0,1.0,MFAJ001E250
27,E2,PREV_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E2,60,Mtto general motor 4000H,TEC-ELE,PM01,2.0,5.0,MFAJ001E260
28,E2,PREV_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E2,70,Mtto general sistema de enfriamiento 4000H,TEC-ELE,PM01,2.0,1.0,MFAJ001E270
29,E2,PREV_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E2,80,Mtto general sistema de enfriamiento 8000H,TEC-ELE,PM01,2.0,4.0,MFAJ001E280
30,E3,LUBR_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E3,10,Lubricacion de motor electrico 8000H,TEC-ELE,PM01,2.0,0.5,MFAJ001E310
31,E3,LUBR_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E3,20,Lubricacion de motor electrico 1000H,TEC-ELE,PM01,2.0,0.5,MFAJ001E320
32,E3,LUBR_ELE_FAJA_ CV202,TEC-ELE,MFAJ001,MFAJ001E3,30,Lubricacion general sistema de enfriamiento 20000H,TEC-ELE,PM01,2.0,1.0,MFAJ001E330
33,I1,INSP_INS_FAJA_ CV202,TEC-INS,MFAJ001,MFAJ001I1,10,Inspeccion general faja 1M,TEC-INS,PM01,2.0,3.0,MFAJ001I110
