Asset tag,Name,Cod sap,WBS_1_EN,WBS_1_ES,WBS_2_EN,WBS_2_ES,WBS_3_EN,WBS_3_ES,WBS_4_EN,WBS_4_ES,Responsable,Hour day,Criticidad,Criticidad Name
2111-BN-201,TOLVA DE MINERAL ROM DE SULFUROS,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-201,CHUTE DE ALIMENTACIÓN AL ALIMENTADOR  DE PLACAS DE LA CHANCADORA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-202,CHUTE DE ALIMENTACIÓN A ALIMENTADOR DE ZARANDA VIBRATORIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-203,CHUTE DE FINOS DEL ALIMENTADOR  DE PLACAS,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-204,CHUTE DE BAJO TAMAÑO DE ZARANDA VIBRATORIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-205,"CHUTE DE ALIMENTACIÓN A CHANCADORA
PRIMARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CH-206,CHUTE DE DESCARGA DE CHANCADORA PRIMARIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2111-CR-201,CHANCADORA QUIJADA METSO C160 750T/H,10016584,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,4,Critico
2111-FE-201,ALIM PLACAS METSO AF8-84MN-7455 75HP,10016582,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,3,Alto
2111-FE-202,ALIM VIBR SCHENCKPROCESS SLR2148D 750T/H,10016583,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,4,Critico
2111-GZ-201,CRIBA ESTATICA ACERO CARBONO 17TN,10016581,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station,Estación de Chancado Primario,John&Juan,24,1,Bajo
2112-CH-207,CHUTE DE DESCARGA DE TRANSPORTADOR DE DESCARGA DE CHANCADORA PRIMARIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Discharge Conveyor,Faja Transportadora de Descarga,John&Juan,24,1,Bajo
2112-CH-227,CHUTE DE MAGNETO DE DECARGA DE CHANCADORA PRIMARIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Discharge Conveyor,Faja Transportadora de Descarga,John&Juan,24,1,Bajo
2112-CV-201,FAJA TRANS 1030T/H 109.2M 48PULG,10016585,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Discharge Conveyor,Faja Transportadora de Descarga,John&Juan,24,3,Alto
2112-MA-201,MAGNETO ERIEZ SE 7815 SC1 440V/60HZ,10016586,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Discharge Conveyor,Faja Transportadora de Descarga,John&Juan,24,2,Medio
2113-CH-208,CHUTE DE DESCARGA DE TRANSPORTADOR SOBRETERRENO No. 1 DE SULFUROS,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crusher Overland Conveyor 1,Faja Transportadora Terrestre de Chancadora Primaria 1,John&Juan,24,1,Bajo
2113-CV-202,FAJA TRANS 1030T/H 762M 48PULG,10016587,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crusher Overland Conveyor 1,Faja Transportadora Terrestre de Chancadora Primaria 1,John&Juan,24,3,Alto
2114-CH-240,"CHUTE DE DESCARGA DE TRANSPORTADOR
SOBRETERRENO No. 2",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crusher Overland Conveyor 2,Faja Transportadora Terrestre de Chancadora Primaria 2,John&Juan,24,1,Bajo
2114-CV-203,FAJA TRANS 1030T/H 1159M 48PULG,10016588,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crusher Overland Conveyor 2,Faja Transportadora Terrestre de Chancadora Primaria 2,John&Juan,24,3,Alto
2122-CH-237,CHUTE DE ALIMENTACIÓN DEL ALIMENTADOR DE PLACAS,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Reclaim Tunnel & Feeders,Túnel de Recuperación y Alimentadores,John&Juan,24,1,Bajo
2122-CH-238,CHUTE DE FINOS DEL ALIMENTADOR  DE PLACAS,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Reclaim Tunnel & Feeders,Túnel de Recuperación y Alimentadores,John&Juan,24,1,Bajo
2122-CH-239,"CHUTE DE DESCARGA DEL ALIMENTADOR DE
PLACAS",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Reclaim Tunnel & Feeders,Túnel de Recuperación y Alimentadores,John&Juan,24,1,Bajo
2122-FA-210,VENTILADOR AXIAL REIMAQ VAX1120 1770RPM,10016591,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Reclaim Tunnel & Feeders,Túnel de Recuperación y Alimentadores,John&Juan,24,3,Alto
2122-FE-213,ALIM PLACAS METSO AF5-60MN-11850 75HP,10016589,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Reclaim Tunnel & Feeders,Túnel de Recuperación y Alimentadores,John&Juan,24,3,Alto
2123-CH-210,"CHUTE DE ALIMENTACIÓN DE ZARANDA
SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Secondary Screen Feed Conveyor,Faja Transportadora de Alimentación de Zaranda Secundaria,John&Juan,24,1,Bajo
2123-CV-210,FAJA TRANS 2257T/H 288.6M 48PULG,10016590,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Secondary Screen Feed Conveyor,Faja Transportadora de Alimentación de Zaranda Secundaria,John&Juan,24,3,Alto
2131-CH-211,"CHUTE DE SOBRE TAMAÑO DE ZARANDA
SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screening Station,Estación de Zarandeo Secundario,John&Juan,24,1,Bajo
2131-CH-216,"CHUTE DE BAJO TAMAÑO DE ZARANDA
SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screening Station,Estación de Zarandeo Secundario,John&Juan,24,1,Bajo
2131-SC-202,ZARANDA SCHENCKPROCESS SLD3673DX 2189T/H,10016593,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screening Station,Estación de Zarandeo Secundario,John&Juan,24,4,Critico
2132-CH-217,"CHUTE DE DESCARGA DE TRANSPORTADOR DE
SOBRE TAMAÑO DE ZARANDA SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screen Oversize Conveyor,Faja Transportadora para Elementos Sobredimensionados Zaranda Secundaria,John&Juan,24,1,Bajo
2132-CH-243,"CHUTE  DE MAGNETO DE SOBRE TAMAÑO DE
ZARANDA SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screen Oversize Conveyor,Faja Transportadora para Elementos Sobredimensionados Zaranda Secundaria,John&Juan,24,1,Bajo
2132-CV-204,FAJA TRANS 1234T/H 130.3M 48PULG,10016592,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screen Oversize Conveyor,Faja Transportadora para Elementos Sobredimensionados Zaranda Secundaria,John&Juan,24,3,Alto
2132-MA-203,MAGNETO ERIEZ SE 7722 SC2,10016913,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screen Oversize Conveyor,Faja Transportadora para Elementos Sobredimensionados Zaranda Secundaria,John&Juan,24,2,Medio
2133-BH-205,FILTRO MANGAS AMERICORP 126FT12,10016595,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,2,Medio
2133-BN-203,TOLVA DE ALIMENTACIÓN A CHANCADORA SECUNDARIA DE SULFUROS,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,1,Bajo
2133-CH-212,CHUTE DE ALIMENTACIÓN A CHANCADORA SECUNDARIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,1,Bajo
2133-CH-213,CHUTE DE ALIMENTACIÓN A CHANCADORA SECUNDARIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,1,Bajo
2133-CH-214,"CHUTE DE DESCARGA DE CHANCADORA
SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,1,Bajo
2133-CH-215,"CHUTE DE DECARGA DE CHANCADORA
SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,1,Bajo
2133-CH-245,"CHUTE DE DESCARGA DE TOLVA DE ALIMENTACIÓN
A CHANCADORA SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,1,Bajo
2133-CH-246,"CHUTE DE DESCARGA DE TOLVA DE ALIMENTACIÓN
A CHANCADORA SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,1,Bajo
2133-CH-256,"CHUTE DE RETORNO DE POLVO DE CHANCADORA
SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,2,Medio
2133-CR-202,CHANCADORA CONICA METSO MP800 750T/H,10016599,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,4,Critico
2133-CR-203,CHANCADORA CONICA METSO MP800 750T/H,10016600,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,4,Critico
2133-FE-204,ALIM CORREA METSO 908T/H,10016597,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,3,Alto
2133-FE-205,ALIM CORREA METSO 908T/H,10016598,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Crushing Station,Estación de Chancado Secundario,John&Juan,24,3,Alto
2134-CH-218,"CHUTE DE DESCARGA DE TRANSPORTADOR DE
TOLVA DE ALIMENTACIÓN DE CHANCADORA TERCIARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screen Undersize Conveyor,Faja Transportadora para Elementos Subdimensionados Zaranda Secundaria,John&Juan,24,1,Bajo
2134-CV-205,FAJA TRANS 1897T/H 230.5M 48PULG,10016601,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Secondary Screen Undersize Conveyor,Faja Transportadora para Elementos Subdimensionados Zaranda Secundaria,John&Juan,24,3,Alto
2135-BH-204,FILTRO MANGA AMERICORP 81FT12 996Pa,10016594,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Dust Suppression,Supresión de Polvo,John&Juan,24,2,Medio
2135-CH-247,"CHUTE DE RETORNO DE POLVO DE ZARANDA
SECUNDARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,SECONDARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO SECUNDARIO,Dust Suppression,Supresión de Polvo,John&Juan,24,2,Medio
2141-BN-204,"TOLVA DE ALIMENTACIÓN DE CHANCADORA
TERCIARIA DE SULFUROS",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crusher Feed Bin,Tolva de Alimentación de Chancadora Terciaria,John&Juan,24,1,Bajo
2141-CH-229,"CHUTE DE DESCARGA DE TOLVA DE ALIMENTACIÓN
DE CHANCADORA TERCIARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crusher Feed Bin,Tolva de Alimentación de Chancadora Terciaria,John&Juan,24,1,Bajo
2141-DC-202,COLECTOR POLVO AMERICORP DONALDSON TBI-5,10017187,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crusher Feed Bin,Tolva de Alimentación de Chancadora Terciaria,John&Juan,24,2,Medio
2142-CH-219,"CHUTE DE ALIMENTACIÓN A CHANCADORA
TERCIARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crusher Feed Conveyor,Faja Transportadora de Alimentación de Chancadora Terciaria,John&Juan,24,1,Bajo
2142-CV-206,FAJA TRANS 1897T/H 99M 72PULG,10016602,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crusher Feed Conveyor,Faja Transportadora de Alimentación de Chancadora Terciaria,John&Juan,24,3,Alto
2143-BN-205,"TOLVA DE ALIMENTACIÓN A CHANCADORA
TERCIARIA DE SULFUROS",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crushing Station,Estación de Chancado Terciario,John&Juan,24,1,Bajo
2143-CH-220,CHUTE DE DESCARGA DE CHANCADORA TERCIARIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crushing Station,Estación de Chancado Terciario,John&Juan,24,1,Bajo
2143-CH-241,CHUTE BYPASS A CHANCADORA TERCIARIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crushing Station,Estación de Chancado Terciario,John&Juan,24,1,Bajo
2143-CR-204,CHANCADORA HPGR THYSSENKR POLYCOM 20/15M,10016603,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crushing Station,Estación de Chancado Terciario,John&Juan,24,4,Critico
2144-CH-221,"CHUTE  DE CABEZA DE TRANSPORTADOR DE
DESCARGA DE CHANCADORA TERCIARIA",#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crushing Discharge Conveyor,Faja Transportadora de Descarga de Chancado Terciario,John&Juan,24,1,Bajo
2144-CV-207,FAJA TRANS 2276T/H 131M 48PULG,10016604,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Crushing Discharge Conveyor,Faja Transportadora de Descarga de Chancado Terciario,John&Juan,24,3,Alto
2145-BN-206,TOLVA DE MINERAL FINO,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Fine Ore Bin,Tolva de Mineral Fino,John&Juan,24,1,Bajo
2145-CH-230,CHUTE DE DESCARGA DE TOLVA DE MINERAL FINO,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Fine Ore Bin,Tolva de Mineral Fino,John&Juan,24,1,Bajo
2145-DC-203,COLECTOR DE POLVO AMERICORP TBI5,10016605,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Fine Ore Bin,Tolva de Mineral Fino,John&Juan,24,2,Medio
2146-CH-223,CHUTE DE ALIMENTACIÓN A ZARANDA TERCIARIA,#N/A,SULFIDE CONCENTRATOR,CONCENTRADORA DE SULFURO,CRUSHING & CRUSHED ORE HANDLING,CHANCADO Y MANEJO DE MINERAL CHANCADO,TERTIARY CRUSHING CIRCUIT,CIRCUITO DE CHANCADO TERCIARIO,Tertiary Screen Feed Conveyor,Faja Transportadora de Alimentación Zaranda Terciaria,John&Juan,24,1,Bajo
