key_dutie,Resource Type,Cod. Material,Cantidad
2133-FE-204|01-05-02,Materials,2530835,0.1
2133-FE-204|03-01-02,Materials,3041958,9
2133-FE-204|03-02-02,Materials,3041957,14
2133-FE-204|03-03-02,Materials,3041959,7
2133-FE-204|03-05-02,Materials,3041960,1
2133-FE-204|03-04-02,Materials,3041961,4
2133-FE-204|01-04-03,Materials,2530846,18.76
2133-FE-204|05-01-02,Materials,3041975,1
2133-FE-204|02-02-05,Materials,2530835,4.5
2133-FE-204|02-03-05,Materials,2530835,4
2133-FE-204|02-01-02,Materials,3041956,1
2133-FE-204|01-01-09,Materials,2530835,54
2133-FE-204|01-04-04,Materials,3041965,1
2133-FE-204|05-02-03,Materials,3041962,1
2133-FE-204|05-03-03,Materials,3041963,1
2133-FE-204|02-02-04,Materials,3041964,1
2133-FE-204|02-03-04,Materials,3041976,1
2133-FE-204|02-02-03,Materials,3041969,1
2133-FE-204|02-02-03,Materials,3041970,1
2133-FE-204|02-03-03,Materials,3041978,1
2133-FE-204|02-03-03,Materials,3041979,1
2133-FE-205|01-02-01,Materials,3041965,1
2133-FE-205|05-01-01,Materials,3041962,1
2133-FE-205|05-02-01,Materials,3041963,1
2133-FE-205|02-01-02,Materials,3041964,1
2133-FE-205|02-02-02,Materials,3041976,1
2133-FE-205|02-01-01,Materials,3041969,1
2133-FE-205|02-01-01,Materials,3041970,1
2133-FE-205|02-02-01,Materials,3041978,1
2133-FE-205|02-02-01,Materials,3041979,1
3132-FE-305|01-05-02,Materials,2530835,0.1
3132-FE-305|03-01-02,Materials,3041958,9
3132-FE-305|03-02-02,Materials,3041957,14
3132-FE-305|03-03-02,Materials,3041959,7
3132-FE-305|03-05-02,Materials,3041960,1
3132-FE-305|03-04-02,Materials,3041961,4
3132-FE-305|01-04-03,Materials,2530846,33.29
3132-FE-305|05-01-02,Materials,3041975,1
3132-FE-305|02-02-06,Materials,2530835,13
3132-FE-305|02-03-06,Materials,2530835,6
3132-FE-305|02-01-02,Materials,3041956,1
3132-FE-305|01-01-09,Materials,2530835,0.08
3132-FE-305|01-04-04,Materials,3041993,1
3132-FE-305|05-02-03,Materials,3041990,1
3132-FE-305|05-03-03,Materials,3041991,1
3132-FE-305|02-02-04,Materials,3041992,1
3132-FE-305|02-03-04,Materials,3042000,1
3132-FE-305|02-02-03,Materials,3041997,1
3132-FE-305|02-02-03,Materials,3041998,1
3132-FE-305|02-03-03,Materials,3042002,1
3132-FE-305|02-03-03,Materials,3042003,1
3144-FE-310|01-05-02,Materials,2530835,0.1
3144-FE-310|03-01-02,Materials,3041958,9
3144-FE-310|03-02-02,Materials,3041957,14
3144-FE-310|03-03-02,Materials,3041959,7
3144-FE-310|03-05-02,Materials,3041960,1
3144-FE-310|03-04-02,Materials,3041961,4
3144-FE-310|01-04-03,Materials,2530846,33.29
3144-FE-310|05-01-02,Materials,3041975,1
3144-FE-310|02-01-02,Materials,3041956,1
3144-FE-310|01-04-04,Materials,3041993,1
3144-FE-310|05-02-03,Materials,3041962,1
3144-FE-310|05-03-03,Materials,3041963,1
3144-FE-310|02-02-04,Materials,3042007,1
3144-FE-310|02-03-04,Materials,3042008,1
3231-FE-315|01-03-02,Materials,2530835,0.1
3231-FE-315|03-01-02,Materials,3045552,12
3231-FE-315|03-02-02,Materials,3045553,4
