Asset tag,key_system,System
2142-CV-206,2142-CV-206|04,
2142-CV-206,2142-CV-206|05,
2143-BN-205,2143-BN-205|01,
2143-BN-205,2143-BN-205|02,
2143-CH-220,2143-CH-220|01,
2143-CH-220,2143-CH-220|02,
2143-CH-241,2143-CH-241|01,
2143-CH-241,2143-CH-241|02,
2143-CR-204,2143-CR-204|01,
2143-CR-204,2143-CR-204|02,
2143-CR-204,2143-CR-204|03,
2143-CR-204,2143-CR-204|04,
2143-CR-204,2143-CR-204|05,
2143-CR-204,2143-CR-204|06,
2143-CR-204,2143-CR-204|07,
2143-CR-204,2143-CR-204|08,
2143-CR-204,2143-CR-204|09,
2143-CR-204,2143-CR-204|10,
2144-CH-221,2144-CH-221|01,
2144-CH-221,2144-CH-221|02,
2144-CV-207,2144-CV-207|01,
2144-CV-207,2144-CV-207|02,
2144-CV-207,2144-CV-207|03,
2144-CV-207,2144-CV-207|04,
2144-CV-207,2144-CV-207|05,
2145-BN-206,2145-BN-206|01,
2145-BN-206,2145-BN-206|02,
2145-CH-230,2145-CH-230|01,
2145-CH-230,2145-CH-230|02,
2145-DC-203,2145-DC-203|01,
2145-DC-203,2145-DC-203|02,
2146-CH-223,2146-CH-223|01,
2146-CH-223,2146-CH-223|02,
2146-CV-208,2146-CV-208|01,
2146-CV-208,2146-CV-208|02,
2146-CV-208,2146-CV-208|03,
2146-CV-208,2146-CV-208|04,
2146-CV-208,2146-CV-208|05,
2147-CH-224,2147-CH-224|01,
2147-CH-224,2147-CH-224|02,
2147-CH-225,2147-CH-225|01,
2147-CH-225,2147-CH-225|02,
2147-SC-203,2147-SC-203|01,
2147-SC-203,2147-SC-203|02,
2147-SC-203,2147-SC-203|03,
2148-CH-226,2148-CH-226|01,
2148-CH-226,2148-CH-226|02,
2148-CH-244,2148-CH-244|01,
2148-CH-244,2148-CH-244|02,
2148-CV-209,2148-CV-209|01,
2148-CV-209,2148-CV-209|02,
2148-CV-209,2148-CV-209|03,
2148-CV-209,2148-CV-209|04,
2148-CV-209,2148-CV-209|05,
2148-MA-204,2148-MA-204|01,
2148-MA-204,2148-MA-204|02,
2148-MA-204,2148-MA-204|03,
2149-BH-203,2149-BH-203|01,
2149-BH-203,2149-BH-203|02,
2149-BH-203,2149-BH-203|03,
2149-CH-248,2149-CH-248|01,
2149-CH-248,2149-CH-248|02,
2221-PU-201,2221-PU-201|01,
2221-PU-201,2221-PU-201|02,
2221-PU-201,2221-PU-201|03,
2222-CY-201,2222-CY-201|01,
2222-CY-201,2222-CY-201|02,
2222-CY-201,2222-CY-201|03,
2222-SA-201,2222-SA-201|01,
2223-CH-231,2223-CH-231|01,
2223-CH-231,2223-CH-231|02,
2223-CH-233,2223-CH-233|01,
2223-CH-233,2223-CH-233|02,
2223-CH-234,2223-CH-234|01,
2223-CH-234,2223-CH-234|02,
2223-ML-201,2223-ML-201|01,
2223-ML-201,2223-ML-201|02,
2223-ML-201,2223-ML-201|03,
2223-ML-201,2223-ML-201|04,
2223-ML-201,2223-ML-201|05,
2223-ML-201,2223-ML-201|06,
2223-ML-201,2223-ML-201|07,
2223-ML-201,2223-ML-201|08,
2223-ML-201,2223-ML-201|09,
2223-ML-201,2223-ML-201|10,
2223-ML-201,2223-ML-201|11,
2223-ML-201,2223-ML-201|12,
2224-CH-209,2224-CH-209|01,
2224-CH-209,2224-CH-209|02,
2224-CH-232,2224-CH-232|01,
2224-CH-232,2224-CH-232|02,
2224-CP-211,2224-CP-211|01,
2224-CP-211,2224-CP-211|02,
2224-CP-211,2224-CP-211|03,
2229-PU-235,2229-PU-235|01,
2229-PU-235,2229-PU-235|02,
2229-PU-235,2229-PU-235|03,
2242-FC-201,2242-FC-201|01,
2242-FC-201,2242-FC-201|02,
2242-FC-201,2242-FC-201|03,
2242-PU-236,2242-PU-236|01,
2242-PU-236,2242-PU-236|02,
2242-PU-236,2242-PU-236|03,
2242-PU-275,2242-PU-275|01,
2242-PU-275,2242-PU-275|02,
2242-PU-275,2242-PU-275|03,
2243-FC-211,2243-FC-211|01,
2243-FC-211,2243-FC-211|02,
2243-FC-211,2243-FC-211|03,
2243-PU-213,2243-PU-213|01,
2243-PU-213,2243-PU-213|02,
2243-PU-213,2243-PU-213|03,
2244-FC-231,2244-FC-231|01,
2244-FC-231,2244-FC-231|02,
2244-FC-231,2244-FC-231|03,
2244-PU-215,2244-PU-215|01,
2244-PU-215,2244-PU-215|02,
2244-PU-215,2244-PU-215|03,
